Jake: plot column 2 (AERSOL) for the left side and column 3 (RPAR) for the right side. Units in this file are cgs
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.250E-01 5.772E-05 1.123E-04 1.614E-03 4.531E+08 5.350E+06 2.541E+10 6.115E+09
  1.250E+05 1.344E-01 5.772E-05 1.123E-04 1.655E-03 4.325E+08 5.123E+06 2.356E+10 6.115E+09
  2.250E+05 1.722E-01 5.772E-05 1.123E-04 1.701E-03 4.110E+08 4.888E+06 1.832E+10 6.115E+09
  3.250E+05 2.282E-01 5.772E-05 1.123E-04 1.754E-03 3.888E+08 4.650E+06 1.374E+10 6.115E+09
  4.250E+05 2.962E-01 5.772E-05 1.123E-04 1.817E-03 3.645E+08 4.389E+06 1.052E+10 6.115E+09
  5.250E+05 3.677E-01 5.772E-05 1.123E-04 1.869E-03 3.493E+08 4.260E+06 8.367E+09 6.115E+09
  6.250E+05 4.421E-01 5.772E-05 1.123E-04 1.912E-03 3.397E+08 4.219E+06 6.836E+09 6.115E+09
  7.250E+05 5.216E-01 5.772E-05 1.123E-04 1.962E-03 3.295E+08 4.177E+06 5.677E+09 6.115E+09
  8.250E+05 6.065E-01 5.772E-05 1.123E-04 2.025E-03 3.163E+08 4.102E+06 4.774E+09 6.115E+09
  9.250E+05 6.940E-01 5.772E-05 1.123E-04 2.103E-03 3.005E+08 3.994E+06 4.072E+09 6.115E+09
  1.025E+06 7.991E-01 5.772E-05 1.123E-04 2.192E-03 2.846E+08 4.865E+06 3.437E+09 6.115E+09
  1.125E+06 1.068E+00 5.772E-05 1.123E-04 2.285E-03 2.714E+08 1.283E+07 2.482E+09 6.115E+09
  1.225E+06 1.811E+00 5.772E-05 1.123E-04 2.386E-03 2.601E+08 2.265E+07 1.402E+09 6.115E+09
  1.325E+06 3.202E+00 5.772E-05 1.123E-04 2.505E-03 2.479E+08 4.818E+07 7.553E+08 6.115E+09
  1.425E+06 5.568E+00 5.772E-05 1.123E-04 2.649E-03 2.343E+08 6.640E+07 4.111E+08 6.115E+09
  1.525E+06 8.250E+00 5.772E-05 1.123E-04 2.823E-03 2.197E+08 8.362E+07 2.607E+08 6.115E+09
  1.625E+06 1.106E+01 5.772E-05 1.123E-04 3.032E-03 2.043E+08 9.591E+07 1.814E+08 6.115E+09
  1.725E+06 1.357E+01 5.772E-05 1.123E-04 3.286E-03 1.879E+08 9.772E+07 1.370E+08 6.115E+09
  1.825E+06 1.552E+01 5.772E-05 1.123E-04 3.592E-03 1.711E+08 9.687E+07 1.102E+08 6.115E+09
  1.925E+06 1.685E+01 5.772E-05 1.123E-04 3.959E-03 1.546E+08 9.132E+07 9.265E+07 6.115E+09
  2.025E+06 1.748E+01 5.772E-05 1.123E-04 4.398E-03 1.385E+08 8.067E+07 8.089E+07 6.115E+09
  2.125E+06 1.760E+01 5.763E-05 1.121E-04 4.909E-03 1.236E+08 7.216E+07 7.216E+07 6.086E+09
  2.225E+06 1.788E+01 5.691E-05 1.111E-04 5.416E-03 1.116E+08 6.297E+07 6.297E+07 5.860E+09
  2.325E+06 1.802E+01 5.600E-05 1.099E-04 5.977E-03 1.007E+08 5.494E+07 5.494E+07 5.585E+09
  2.425E+06 1.803E+01 5.501E-05 1.086E-04 6.606E-03 9.080E+07 4.798E+07 4.798E+07 5.292E+09
  2.525E+06 1.792E+01 5.397E-05 1.074E-04 7.315E-03 8.165E+07 4.197E+07 4.197E+07 4.997E+09
  2.625E+06 1.756E+01 5.308E-05 1.064E-04 8.168E-03 7.278E+07 3.720E+07 3.720E+07 4.755E+09
  2.725E+06 1.713E+01 5.218E-05 1.055E-04 9.135E-03 6.475E+07 3.300E+07 3.300E+07 4.518E+09
  2.825E+06 1.683E+01 5.107E-05 1.045E-04 1.014E-02 5.812E+07 2.894E+07 2.894E+07 4.235E+09
  2.925E+06 1.572E+01 5.070E-05 1.042E-04 1.164E-02 5.063E+07 2.670E+07 2.670E+07 4.145E+09
  3.025E+06 1.479E+01 5.015E-05 1.038E-04 1.326E-02 4.451E+07 2.437E+07 2.437E+07 4.010E+09
  3.125E+06 1.433E+01 4.916E-05 1.031E-04 1.481E-02 3.972E+07 2.164E+07 2.164E+07 3.778E+09
  3.225E+06 1.355E+01 4.855E-05 1.028E-04 1.685E-02 3.478E+07 1.974E+07 1.974E+07 3.638E+09
  3.325E+06 1.283E+01 4.788E-05 1.024E-04 1.912E-02 3.056E+07 1.797E+07 1.797E+07 3.489E+09
  3.425E+06 1.226E+01 4.703E-05 1.020E-04 2.150E-02 2.713E+07 1.620E+07 1.620E+07 3.308E+09
  3.525E+06 1.160E+01 4.632E-05 1.017E-04 2.433E-02 2.395E+07 1.476E+07 1.476E+07 3.159E+09
  3.625E+06 1.132E+01 4.515E-05 1.014E-04 2.677E-02 2.175E+07 1.303E+07 1.303E+07 2.927E+09
  3.725E+06 1.093E+01 4.417E-05 1.012E-04 2.969E-02 1.959E+07 1.166E+07 1.166E+07 2.739E+09
  3.825E+06 1.049E+01 4.330E-05 1.010E-04 3.313E-02 1.753E+07 1.054E+07 1.054E+07 2.581E+09
  3.925E+06 1.029E+01 4.216E-05 1.009E-04 3.622E-02 1.600E+07 9.331E+06 9.331E+06 2.383E+09
  4.025E+06 1.001E+01 4.117E-05 1.009E-04 3.992E-02 1.448E+07 8.358E+06 8.358E+06 2.218E+09
  4.125E+06 9.663E+00 4.030E-05 1.008E-04 4.434E-02 1.302E+07 7.571E+06 7.571E+06 2.081E+09
  4.225E+06 9.359E+00 3.936E-05 1.008E-04 4.892E-02 1.182E+07 6.829E+06 6.829E+06 1.939E+09
  4.325E+06 9.027E+00 3.844E-05 1.008E-04 5.395E-02 1.081E+07 6.182E+06 6.182E+06 1.806E+09
  4.425E+06 8.769E+00 3.746E-05 1.007E-04 5.909E-02 9.952E+06 5.578E+06 5.578E+06 1.672E+09
  4.525E+06 8.298E+00 3.686E-05 1.007E-04 6.652E-02 8.899E+06 5.231E+06 5.231E+06 1.593E+09
  4.625E+06 8.192E+00 3.575E-05 1.005E-04 7.180E-02 8.312E+06 4.686E+06 4.686E+06 1.452E+09
  4.725E+06 7.944E+00 3.486E-05 1.003E-04 7.881E-02 7.637E+06 4.313E+06 4.313E+06 1.347E+09
  4.825E+06 7.693E+00 3.401E-05 9.993E-05 8.662E-02 7.008E+06 4.005E+06 4.005E+06 1.250E+09
  4.925E+06 7.563E+00 3.299E-05 9.939E-05 9.390E-02 6.522E+06 3.676E+06 3.676E+06 1.141E+09
  5.025E+06 7.418E+00 3.200E-05 9.868E-05 1.020E-01 6.057E+06 3.409E+06 3.409E+06 1.042E+09
  5.125E+06 7.276E+00 3.101E-05 9.774E-05 1.109E-01 5.625E+06 3.188E+06 3.188E+06 9.478E+08
  5.225E+06 7.193E+00 2.994E-05 9.645E-05 1.199E-01 5.246E+06 2.982E+06 2.982E+06 8.533E+08
  5.325E+06 7.209E+00 2.874E-05 9.460E-05 1.289E-01 4.924E+06 2.774E+06 2.774E+06 7.549E+08
  5.425E+06 7.370E+00 2.737E-05 9.193E-05 1.376E-01 4.650E+06 2.560E+06 2.560E+06 6.522E+08
  5.525E+06 7.747E+00 2.579E-05 8.802E-05 1.464E-01 4.406E+06 2.337E+06 2.337E+06 5.456E+08
  5.625E+06 8.486E+00 2.394E-05 8.230E-05 1.558E-01 4.167E+06 2.108E+06 2.108E+06 4.361E+08
  5.725E+06 9.918E+00 2.171E-05 7.384E-05 1.678E-01 3.889E+06 1.878E+06 1.878E+06 3.252E+08
  5.825E+06 1.299E+01 1.891E-05 6.129E-05 1.870E-01 3.502E+06 1.655E+06 1.655E+06 2.149E+08
  5.925E+06 2.152E+01 1.518E-05 4.296E-05 2.287E-01 2.871E+06 1.447E+06 1.447E+06 1.112E+08
  6.025E+06 6.065E+01 1.013E-05 2.024E-05 3.552E-01 1.851E+06 1.257E+06 1.257E+06 3.305E+07
  6.125E+06 5.124E+02 4.593E-06 4.593E-06 7.460E-01 8.818E+05 1.087E+06 8.818E+05 3.081E+06
  6.225E+06 5.596E+02 4.064E-06 4.064E-06 7.656E-01 8.587E+05 9.378E+05 8.587E+05 2.134E+06
  6.325E+06 6.372E+02 3.566E-06 3.566E-06 7.791E-01 8.415E+05 8.061E+05 8.061E+05 1.442E+06
  6.425E+06 8.055E+02 3.040E-06 3.040E-06 7.703E-01 8.476E+05 6.921E+05 6.921E+05 8.929E+05
  6.525E+06 1.014E+03 2.607E-06 2.607E-06 7.669E-01 8.476E+05 5.951E+05 5.951E+05 5.636E+05
  6.625E+06 1.269E+03 2.249E-06 2.249E-06 7.683E-01 8.422E+05 5.131E+05 5.131E+05 3.617E+05
  6.725E+06 1.581E+03 1.949E-06 1.949E-06 7.736E-01 8.323E+05 4.435E+05 4.435E+05 2.352E+05
  6.825E+06 1.820E+03 1.737E-06 1.737E-06 8.021E-01 7.975E+05 4.093E+05 4.093E+05 1.668E+05
  6.925E+06 1.969E+03 1.583E-06 1.583E-06 8.503E-01 7.429E+05 3.990E+05 3.990E+05 1.261E+05
  7.025E+06 2.210E+03 1.427E-06 1.427E-06 8.932E-01 6.893E+05 3.791E+05 3.791E+05 9.240E+04
  7.125E+06 2.628E+03 1.267E-06 1.267E-06 9.279E-01 6.340E+05 3.461E+05 3.461E+05 6.467E+04
  7.225E+06 3.395E+03 1.101E-06 1.101E-06 9.530E-01 5.732E+05 2.984E+05 2.984E+05 4.240E+04
  7.325E+06 4.108E+03 9.645E-07 9.645E-07 1.004E+00 5.174E+05 2.700E+05 2.700E+05 2.853E+04
  7.425E+06 4.328E+03 8.690E-07 8.690E-07 1.091E+00 4.762E+05 2.700E+05 2.700E+05 2.087E+04
  7.525E+06 4.560E+03 7.828E-07 7.828E-07 1.185E+00 4.384E+05 2.700E+05 2.700E+05 1.525E+04
  7.625E+06 4.803E+03 7.057E-07 7.057E-07 1.288E+00 4.034E+05 2.700E+05 2.700E+05 1.117E+04
  7.725E+06 5.053E+03 6.377E-07 6.377E-07 1.403E+00 3.703E+05 2.700E+05 2.700E+05 8.243E+03
  7.825E+06 5.305E+03 5.785E-07 5.785E-07 1.535E+00 3.385E+05 2.700E+05 2.700E+05 6.155E+03
  7.925E+06 5.557E+03 5.272E-07 5.272E-07 1.686E+00 3.081E+05 2.700E+05 2.700E+05 4.658E+03
  8.025E+06 5.822E+03 4.803E-07 4.803E-07 1.852E+00 2.805E+05 2.700E+05 2.700E+05 3.524E+03
  8.125E+06 6.364E+03 4.263E-07 4.263E-07 1.982E+00 2.622E+05 2.700E+05 2.622E+05 2.464E+03
  8.225E+06 7.104E+03 3.657E-07 3.657E-07 2.049E+00 2.536E+05 2.700E+05 2.536E+05 1.555E+03
